"Room","Capacity","UUID","Professor","Class","Title","Type","Time","Length"
"EMCB 105",0,"U0035613","DE ST GERMAIN, H. J.","CP SC 1000-001","Engineering Computing","LECTURE","T1400|H1400",80
"EMCB 226",0,"U0035613","DE ST GERMAIN, H. J.","CP SC 1000-002","Engineering Computing","LABORATORY","F0835",50
"EMCB 226",0,"U0035613","DE ST GERMAIN, H. J.","CP SC 1000-003","Engineering Computing","LABORATORY","F0940",50
"EMCB 226",0,"U0035613","DE ST GERMAIN, H. J.","CP SC 1000-004","Engineering Computing","LABORATORY","F1045",50
"EMCB 226",0,"U0035613","DE ST GERMAIN, H. J.","CP SC 1000-005","Engineering Computing","LABORATORY","F1150",50
"EMCB 226",0,"U0035613","DE ST GERMAIN, H. J.","CP SC 1000-006","Engineering Computing","LABORATORY","F1255",50
"EMCB 104",0,"U0028988","ZACHARY, J. L.","CP SC 1010-001","Introduction To Unix","LABORATORY","F1610",50
"MEB 1208",50,"U0099349","PERKINS, A. J.","CP SC 1021-001","Introduction to Java","LECTURE","M1325",80
"MEB 3225",30,"U0099349","PERKINS, A. J.","CP SC 1021-002","Introduction to Java","LABORATORY","W1325|F1325",80
"OSH 175",120,"U0471866","PARKER, D.","CP SC 2000-001","Program Design C","LECTURE","T1400|H1400",80
"EMCB 226",0,"U0471866","PARKER, D.","CP SC 2000-002","Program Design C","LABORATORY","F0940",50
"EMCB 226",0,"U0471866","PARKER, D.","CP SC 2000-003","Program Design C","LABORATORY","F1045",50
"EMCB 104",0,"U0028988","ZACHARY, J. L.","CP SC 2010-001","Computer Science I","LECTURE","T1400|H1400",80
"MEB 3225",30,"U0028988","ZACHARY, J. L.","CP SC 2010-002","Computer Science I","LABORATORY","M0835",50
"MEB 3225",30,"U0028988","ZACHARY, J. L.","CP SC 2010-003","Computer Science I","LABORATORY","M0940",50
"MEB 3225",30,"U0028988","ZACHARY, J. L.","CP SC 2010-004","Computer Science I","LABORATORY","M1045",50
