Room,Capacity,UUID,Professor,Class,Title,Type,Time,Length
"WEB L101",208,U1523698,"DE ST GERMAIN, J. D.","CS 1000","Engineering Computing",LECTURE,M1500|W1500,80
"WEB L226",40,U1523698,"DE ST GERMAIN, J. D.","CS 1000","Engineering Computing",LABORATORY,F0835,50
"WEB L226",40,U1523698,"DE ST GERMAIN, J. D.","CS 1000","Engineering Computing",LABORATORY,F0940,50
"WEB L226",40,U1523698,"DE ST GERMAIN, J. D.","CS 1000","Engineering Computing",LABORATORY,F1045,50
"WEB L226",40,U1523698,"DE ST GERMAIN, J. D.","CS 1000","Engineering Computing",LABORATORY,F1150,50
"WEB L226",40,U1523698,"DE ST GERMAIN, J. D.","CS 1000","Engineering Computing",LABORATORY,F1255,50
"WEB L226",40,U1523698,"DE ST GERMAIN, J. D.","CS 1001","Eng Computing MATLAB",LABORATORY,F0835,50
"WEB L226",40,U1523698,"DE ST GERMAIN, J. D.","CS 1001","Eng Computing MATLAB",LABORATORY,F0940,50
"WEB L226",40,U1523698,"DE ST GERMAIN, J. D.","CS 1001","Eng Computing MATLAB",LABORATORY,F1045,50
"WEB L226",40,U1523698,"DE ST GERMAIN, J. D.","CS 1001","Eng Computing MATLAB",LABORATORY,F1150,50
"WEB L226",40,U1523698,"DE ST GERMAIN, J. D.","CS 1001","Eng Computing MATLAB",LABORATORY,F1255,50
"WEB 1250",0,U1523630,"JOHNSON, D. E.","CS 1060","Explor in Computer Sci",LECTURE,M1045|W1045|F1045,50
"WEB L105",145,U1523626,"PARKER, D.","CS 1400","Introduction to CS",LECTURE,T1400|H1400,50
"WEB L124",50,U1523626,"PARKER, D.","CS 1400","Introduction to CS",LABORATORY,M1255|W1255,50
"WEB L124",50,U1523626,"PARKER, D.","CS 1400","Introduction to CS",LABORATORY,M1400|W1400,50
"WEB L124",50,U1523626,"PARKER, D.","CS 1400","Introduction to CS",LABORATORY,M1505|W1505,50
"WEB L124",50,U1523626,"PARKER, D.","CS 1400","Introduction to CS",LABORATORY,M1610|W1610,50
"WEB L124",50,U1523626,"PARKER, D.","CS 1400","Introduction to CS",LABORATORY,M0940|W0940,50
"WEB L104",262,U1523626,"PARKER, D.","CS 1410","Object-Oriented Prog",LECTURE,M1045|W1045|F1045,50
"MEB 3225",30,U1523626,"PARKER, D.","CS 1410","Object-Oriented Prog",LABORATORY,T0835,50
"MEB 3225",30,U1523626,"PARKER, D.","CS 1410","Object-Oriented Prog",LABORATORY,T0940,50
"MEB 3225",30,U1523626,"PARKER, D.","CS 1410","Object-Oriented Prog",LABORATORY,T1045,50
"MEB 3225",30,U1523626,"PARKER, D.","CS 1410","Object-Oriented Prog",LABORATORY,T1150,50
"MEB 3225",30,U1523626,"PARKER, D.","CS 1410","Object-Oriented Prog",LABORATORY,T1255,50
"MEB 3225",30,U1523626,"PARKER, D.","CS 1410","Object-Oriented Prog",LABORATORY,T1400,50
"WEB L102",93,U1523730,"RAKAMARIC, Z.","CS 2100","Discrete Structures",LECTURE,T1225|H1225,80
"WEB L112",60,U1523730,"RAKAMARIC, Z.","CS 2100","Discrete Structures",DISCUSSION,F1045,50
"WEB L112",60,U1523730,"RAKAMARIC, Z.","CS 2100","Discrete Structures",DISCUSSION,F1150,50
"WEB L110",60,U1523730,"RAKAMARIC, Z.","CS 2100","Discrete Structures",DISCUSSION,F0940,50
"WEB L104",262,U1523585,"JENSEN, P. A.","CS 2420","Intro Alg & Data Struct",LECTURE,T0910|H0910,80
"MEB 3225",30,U1523585,"JENSEN, P. A.","CS 2420","Intro Alg & Data Struct",LABORATORY,M0835,50
"MEB 3225",30,U1523585,"JENSEN, P. A.","CS 2420","Intro Alg & Data Struct",LABORATORY,M0940,50
"MEB 3225",30,U1523585,"JENSEN, P. A.","CS 2420","Intro Alg & Data Struct",LABORATORY,M1045,50
"MEB 3225",30,U1523585,"JENSEN, P. A.","CS 2420","Intro Alg & Data Struct",LABORATORY,M1150,50
"MEB 3225",30,U1523585,"JENSEN, P. A.","CS 2420","Intro Alg & Data Struct",LABORATORY,M1255,50
"MEB 3225",30,U1523585,"JENSEN, P. A.","CS 2420","Intro Alg & Data Struct",LABORATORY,M1400,50
"MEB 3225",30,U1523585,"JENSEN, P. A.","CS 2420","Intro Alg & Data Struct",LABORATORY,M1505,50
"MEB 3225",30,U1523585,"JENSEN, P. A.","CS 2420","Intro Alg & Data Struct",LABORATORY,M1610,50
"ANNEX 2214",18,U1523719,"TOPONCE, A. S.","CS 2963","LPI Level 1",LAB/DISCUSSION,W1800,180
"MEB 3147",1,U1523549,"FLATT, M.","CS 3011","Industry Forum",LECTURE,F1045,50
"WEB L103",136,U1523766,"PATWARI, N.; JAVANMARDI, M.; MESADI, F. B.","CS 3130","Eng Prob Stats",LECTURE,M0940|W0940|F0940,50
"WEB L103",136,U1523700,"ROSEN, P. A.","CS 3200","Intro Sci Comp",LECTURE,M1325|W1325,80
"WEB L104",262,U1523585,"JENSEN, P. A.","CS 3505","Software Practice II",LECTURE,T1400|H1400,80
"MEB 3225",30,U1523585,"JENSEN, P. A.","CS 3505","Software Practice II",DISCUSSION,W0835,50
"MEB 3225",30,U1523585,"JENSEN, P. A.","CS 3505","Software Practice II",DISCUSSION,W0940,50
"MEB 3225",30,U1523585,"JENSEN, P. A.","CS 3505","Software Practice II",DISCUSSION,W1045,50
"MEB 3225",30,U1523585,"JENSEN, P. A.","CS 3505","Software Practice II",DISCUSSION,W1150,50
"MEB 3225",30,U1523585,"JENSEN, P. A.","CS 3505","Software Practice II",DISCUSSION,W1255,50
"WEB L104",262,U1523767,"MYERS, C. J.; FISHER, A. N.; HILL, T. C.","CS 3700","Digital System Design",LECTURE,T1225|H1225,80
"MEB 3133",36,U1523768,"MYERS, C. J.; ZHANG, Z.","CS 3700","Digital System Design",LABORATORY,T1045,80
"MEB 3133",36,U1523721,"MYERS, C. J.; SAEBI, P.","CS 3700","Digital System Design",LABORATORY,T1540,80
"MEB 3133",36,U1523721,"MYERS, C. J.; SAEBI, P.","CS 3700","Digital System Design",LABORATORY,W1150,80
"MEB 3133",36,U1523721,"MYERS, C. J.; SAEBI, P.","CS 3700","Digital System Design",LABORATORY,H1540,80
"MEB 3133",36,U1523768,"MYERS, C. J.; ZHANG, Z.","CS 3700","Digital System Design",LABORATORY,F1325,80
"MEB 3133",36,U1523769,"MYERS, C. J.; HILL, T. C.; ZHANG, Z.","CS 3700","Digital System Design",LABORATORY,F1500,80
"MEB 3147",1,U1523550,"BRUNVAND, E. L.","CS 3992",Pre-Thesis/Clinic/Proj,SEMINAR,W1150,50
"WEB L105",145,U1523728,"YUKSEL, C.","CS 4150",Algorithms,LECTURE,T1045|H1045,80
"WEB 1250",0,U1523733,"VAN DER MERWE, J. E.","CS 4480","Computer Networks",LECTURE,M1325|W1325,80
"WEB 2230",88,U1523584,"DE ST GERMAIN, H. J.","CS 4500","Senior Capstone Project",LECTURE,T1540|H1540,80
"WEB 1230",92,U1523584,"DE ST GERMAIN, H. J.","CS 4540","Web Software Architecture",LECTURE,M1635|W1635,80
"M LI 1120",45,U1523724,"STOKER, M. L.","CS 4962","Mobile Application Programming","SPECIAL TOPICS",T1540|H1540,80
"WEB L120",50,U1523552,"HENDERSON, T. C.","CS 5100","Foundations Of CS",LECTURE,M1150|W1150,80
"WEB 2230",88,U1523705,"PHILLIPS, J.","CS 5140","Data Mining",LECTURE,M1715|W1715,80
"WEB 2230",88,U1523557,"HOLLERBACH, J. M.","CS 5300","Artificial Intelligence",LECTURE,T1225|H1225,80
"WEB L103",136,U1523770,"BURTSEV, A.","CS 5460","Operating Systems",LECTURE,T0910|H0910,80
"WEB L102",93,U1523704,"LI, F.","CS 5530","Database Systems",LECTURE,M1500|W1500,80
"MEB 3147",1,U1523556,"THOMPSON, W. B.","CS 5650","Perception for Graphics",LECTURE,M1500|W1500,80
"WEB L122",50,U1523771,"KALLA, P.; SCHLITT, L. M.","CS 5740","CAD of Digital Circuits",LECTURE,M1400|W1400|F1400,50
"WEB 1250",0,U1523772,"DAVIES, J. B.; FORYS, A. K.; SCHMID, T.; BARJATIA, M.","CS 5780","Embedded Sys Design",LECTURE,T1225|H1225,80
